date,branch_id,product_id,quantity_sold,selling_price,cost_price,current_stock,month,festival_flag
2025-10-30,B03,P101,129,254,184,905,10,1
2025-05-19,B26,P110,15,944,655,280,5,0
2025-08-05,B34,P114,71,436,321,369,8,0
2025-02-07,B03,P113,44,134,95,341,2,0
2025-11-10,B28,P116,86,788,530,483,11,1
2025-09-14,B07,P104,40,223,190,454,9,0
2025-09-12,B42,P101,77,448,355,769,9,0
2025-10-10,B15,P105,56,767,652,671,10,1
2025-03-29,B39,P102,130,1025,736,820,3,1
2025-06-26,B25,P119,22,806,671,317,6,0
2025-05-25,B05,P113,48,852,596,298,5,0
2025-10-16,B09,P104,40,715,496,156,10,1
2025-12-29,B30,P104,99,188,127,432,12,1
2025-04-01,B27,P106,53,934,750,265,4,0
2025-05-24,B22,P113,65,203,137,246,5,0
2025-07-25,B08,P115,49,1068,785,759,7,0
2025-01-10,B17,P112,32,802,642,916,1,0
2025-05-17,B15,P118,21,126,90,119,5,0
2025-06-23,B45,P117,73,433,313,453,6,0
2025-06-05,B40,P115,14,588,449,866,6,0
2025-02-11,B41,P118,41,552,451,525,2,0
2025-05-27,B45,P103,54,479,330,155,5,0
2025-05-24,B24,P104,40,673,500,509,5,0
2025-04-22,B49,P119,70,590,473,716,4,0
2025-11-20,B14,P109,39,126,110,377,11,1
2025-04-18,B23,P115,25,139,112,827,4,0
2025-07-23,B32,P105,32,180,155,725,7,0
2025-12-08,B17,P117,183,111,93,541,12,1
2025-08-13,B46,P117,76,400,317,676,8,0
2025-01-01,B43,P112,26,316,270,907,1,0
2025-02-28,B17,P101,75,465,367,217,2,0
2025-08-18,B35,P113,44,475,398,430,8,0
2025-10-04,B48,P109,68,666,465,863,10,1
2025-05-19,B43,P108,60,281,218,796,5,0
2025-09-25,B06,P103,44,1015,694,786,9,0
2025-03-04,B25,P105,89,236,159,702,3,1
2025-03-17,B20,P108,53,870,655,987,3,1
2025-05-14,B42,P110,33,36,29,595,5,0
2025-02-21,B37,P112,33,910,764,826,2,0
2025-01-06,B31,P112,65,675,482,811,1,0
2025-03-06,B40,P116,160,147,130,360,3,1
2025-11-11,B07,P110,97,492,432,940,11,1
2025-08-02,B18,P118,17,871,615,666,8,0
2025-03-03,B31,P107,20,265,214,569,3,1
2025-12-18,B45,P115,63,169,144,556,12,1
2025-09-24,B30,P106,53,304,204,346,9,0
2025-01-24,B05,P115,12,651,537,947,1,0
2025-07-17,B35,P105,34,880,593,900,7,0
2025-08-05,B16,P119,10,82,62,158,8,0
2025-07-05,B02,P119,57,439,393,379,7,0
2025-05-07,B29,P108,51,270,222,372,5,0
2025-10-04,B47,P103,170,190,144,312,10,1
2025-01-22,B47,P104,29,57,41,163,1,0
2025-03-27,B22,P102,54,296,243,970,3,1
2025-08-23,B27,P118,41,199,155,929,8,0
2025-07-23,B39,P102,44,893,687,458,7,0
2025-06-30,B35,P101,11,292,254,457,6,0
2025-02-25,B17,P101,27,132,90,591,2,0
2025-01-24,B46,P114,12,188,152,883,1,0
2025-06-02,B27,P108,59,661,504,878,6,0
2025-05-21,B11,P113,77,737,581,373,5,0
2025-11-01,B02,P107,24,397,349,846,11,1
2025-05-12,B49,P106,75,370,259,751,5,0
2025-12-07,B45,P116,98,241,204,974,12,1
2025-02-24,B42,P119,20,593,404,542,2,0
2025-10-23,B46,P106,33,960,674,116,10,1
2025-09-23,B18,P120,46,94,79,411,9,0
2025-08-25,B24,P106,76,1120,747,759,8,0
2025-07-10,B14,P103,42,238,184,414,7,0
2025-02-19,B17,P104,46,360,278,364,2,0
